Time [s],Channel 0
0.801398112,0
0.801400136,1
0.801404112,0
0.801410136,1
0.801412112,0
0.801414136,1
0.801416112,0
0.801417136,1
0.801418112,0
0.801419136,1
0.801420112,0
0.801425136,1
0.801426112,0
0.801430136,1
0.801435112,0
0.801436136,1
0.801441112,0
0.801442136,1
0.801447120,0
0.801448136,1
0.801453120,0
0.801454136,1
0.801459120,0
0.801460136,1
0.801465120,0
0.801466136,1
0.801471120,0
0.801472136,1
0.801477120,0
0.801478136,1
0.801483120,0
0.801484136,1
0.801489120,0
0.801490144,1
0.801495120,0
0.801496144,1
0.801501120,0
0.801502144,1
0.801507120,0
0.801508144,1
0.801513120,0
0.801514144,1
0.801519120,0
0.801520144,1
0.801525120,0
0.801526144,1
0.801531120,0
0.801532144,1
0.801537120,0
0.801538144,1
0.801543120,0
0.801544144,1
0.801549120,0
0.801550144,1
0.801555120,0
0.801556144,1
0.801561128,0
0.801562144,1
0.801567128,0
0.801568144,1
0.801573128,0
0.801576144,1
0.801578128,0
0.801579144,1
0.801583128,0
0.801585144,1
0.801588128,0
0.801590144,1
0.801593128,0
0.801596144,1
0.801598128,0
0.801599144,1
0.801601224,0
0.801603232,1
0.801625328,0
0.801635352,1
0.801637328,0
0.801643352,1
0.801645328,0
0.801647352,1
0.801649328,0
0.801657352,1
0.801659328,0
0.801669352,1
0.801671328,0
0.801681352,1
0.801683328,0
0.801693352,1
0.801695336,0
0.801703352,1
0.801713336,0
0.801715352,1
0.801725336,0
0.801727360,1
0.801737336,0
0.801739360,1
0.801749336,0
0.801751360,1
0.801761336,0
0.801763360,1
0.801773336,0
0.801775360,1
0.801785336,0
0.801787360,1
0.801797344,0
0.801799360,1
0.801809344,0
0.801811360,1
0.801817344,0
0.801823360,1
0.801825344,0
0.801831360,1
0.801833344,0
0.801837368,1
0.801841344,0
0.801843368,1
0.801845344,0
0.801847368,1
0.801849448,0
0.801851456,1
0.802331616,0
0.802333616,1
0.802335600,0
0.802339592,1
0.802345560,0
0.802355528,1
0.802357512,0
0.802361504,1
0.802363488,0
0.802365488,1
0.802367472,0
0.802368472,1
0.802369464,0
0.802374448,1
0.802376432,0
0.802379432,1
0.802381416,0
0.802382424,1
0.802384408,0
0.802385416,1
0.802389384,0
0.802390392,1
0.802393376,0
0.802394376,1
0.802395368,0
0.802396368,1
0.802397360,0
0.802398360,1
0.802400344,0
0.802401344,1
0.802403328,0
0.802406328,1
0.802408304,0
0.802410304,1
0.802411296,0
0.802415288,1
0.802416280,0
0.802421264,1
0.802422256,0
0.802423256,1
0.802425240,0
0.802427240,1
0.802428232,0
0.802429232,1
0.802430216,0
0.802431224,1
0.802435200,0
0.802438200,1
0.802439184,0
0.802440192,1
0.802441176,0
0.802442184,1
0.802443168,0
0.802444176,1
0.802445168,0
0.802448160,1
0.802449152,0
0.802450152,1
0.802453136,0
0.802458120,1
0.802459112,0
0.802461112,1
0.802463096,0
0.802464104,1
0.802466192,0
0.802468208,1
0.807410536,0
0.807412528,1
0.807414512,0
0.807418504,1
0.807424464,0
0.807434424,1
0.807436416,0
0.807440400,1
0.807442384,0
0.807444384,1
0.807446368,0
0.807447368,1
0.807448360,0
0.807453344,1
0.807455328,0
0.807457328,1
0.807458312,0
0.807461312,1
0.807464288,0
0.807469280,1
0.807472256,0
0.807474264,1
0.807475248,0
0.807476248,1
0.807477240,0
0.807478248,1
0.807480232,0
0.807483224,1
0.807485208,0
0.807486216,1
0.807489192,0
0.807490200,1
0.807491184,0
0.807495184,1
0.807496168,0
0.807501152,1
0.807502144,0
0.807503144,1
0.807505128,0
0.807510120,1
0.807511104,0
0.807512112,1
0.807517088,0
0.807519080,1
0.807520072,0
0.807521072,1
0.807522064,0
0.807523064,1
0.807524056,0
0.807525056,1
0.807527040,0
0.807528048,1
0.807530032,0
0.807531032,1
0.807535008,0
0.807539000,1
0.807539984,0
0.807540992,1
0.807541976,0
0.807542984,1
0.807544968,0
0.807546968,1
0.807547936,0
0.807549952,1
0.812591832,0
0.812593824,1
0.812595808,0
0.812599800,1
0.812605768,0
0.812615736,1
0.812617720,0
0.812621712,1
0.812623696,0
0.812625696,1
0.812627680,0
0.812630672,1
0.812631656,0
0.812634656,1
0.812635640,0
0.812637640,1
0.812638624,0
0.812639632,1
0.812640616,0
0.812641624,1
0.812643608,0
0.812648592,1
0.812649584,0
0.812651584,1
0.812653560,0
0.812654568,1
0.812655552,0
0.812656560,1
0.812657544,0
0.812658552,1
0.812659544,0
0.812662536,1
0.812663528,0
0.812664528,1
0.812666512,0
0.812668512,1
0.812671496,0
0.812672504,1
0.812673488,0
0.812675488,1
0.812676488,0
0.812678504,1
0.901290544,0
0.901298560,1
0.901308536,0
0.901310560,1
0.901314536,0
0.901320560,1
0.901322536,0
0.901324560,1
0.901326536,0
0.901327560,1
0.901328536,0
0.901329560,1
0.901330536,0
0.901335560,1
0.901336536,0
0.901340560,1
0.901345544,0
0.901346560,1
0.901351544,0
0.901352560,1
0.901357544,0
0.901358560,1
0.901363544,0
0.901364560,1
0.901369544,0
0.901370560,1
0.901375544,0
0.901376568,1
0.901381544,0
0.901382568,1
0.901387544,0
0.901388568,1
0.901393544,0
0.901394568,1
0.901399544,0
0.901400568,1
0.901405544,0
0.901406568,1
0.901411544,0
0.901412568,1
0.901417544,0
0.901418568,1
0.901423544,0
0.901424568,1
0.901429544,0
0.901430568,1
0.901435544,0
0.901436568,1
0.901441544,0
0.901442568,1
0.901447544,0
0.901448568,1
0.901453552,0
0.901454568,1
0.901459552,0
0.901460568,1
0.901465552,0
0.901466568,1
0.901471552,0
0.901472568,1
0.901477552,0
0.901478568,1
0.901483552,0
0.901486568,1
0.901488552,0
0.901489568,1
0.901493552,0
